chr,coor_s,coor_e,ids
2,77045685,77243351,id1
2,99164787,99205077,id2
15,42833475,43021495,id3
1,19106019,19337323,id4
5,120278591,120282624,id5
2,10708051,10751527,id6
13,105853034,105858349,id7
9,110134193,110160015,id8
11,79582597,79587233,id9
3,81256729,81261145,id11
5,126034107,126066370,id12
19,27050746,27056347,id13
4,56644953,56675256,id14
2,9648755,9681328,id15
14,103530859,103541786,id16
1,239630916,239644636,id17
9,31593554,31624874,id18
6,129038762,129046152,id19
9,6109386,6120937,id20
1,151082787,151085050,id21
7,2560080,2562758,id22
1,9830740,9833398,id23
6,151200772,151202755,id24
6,49698402,49749147,id25
1,104540832,104571896,id26
3,57875634,57877659,id27
9,34819977,34822336,id28
2,29608169,29616122,id29
8,13631515,13633305,id30
4,10029219,10060976,id31
6,81845848,81848557,id32
3,77335031,77338916,id33
22,37947922,37956924,id34
6,122622974,122628997,id35
20,63640128,63641545,id36
1,183481247,183483216,id37
8,106643763,106645682,id38
11,50592441,50598780,id39
6,76036765,76056625,id40
9,93784753,93821821,id41
2,13736749,13739175,id42
5,63750941,63753351,id43
7,69612043,69711104,id44
15,9793650,9906866,id45
16,30380936,30652182,id46
17,53683403,53686108,id47
5,35649887,35668277,id48
13,110571765,110590078,id49
1,194166666,194167944,id50
1,19889745,19900672,id51
11,130085736,130105881,id52
20,24057251,24078069,id53
9,94532957,94535746,id54
2,165567519,165574411,id55
1,10324688,10449378,id56
1,214875678,214893630,id57
17,44261382,44332894,id58
2,224669479,224701151,id59
12,21421391,21424435,id60
4,170190736,170227594,id61
10,111375608,111412837,id62
1,233301664,233357688,id63
2,188716626,188765531,id64
10,33939337,33940685,id65
15,18572583,18575019,id66
6,14267315,14279179,id67
12,76819143,76832354,id68
1,241345094,241346417,id69
2,28892837,28909727,id70
9,61851082,61854477,id71
16,86624061,86629198,id72
20,27778272,27825065,id73
2,155415144,155421658,id75
11,3324623,3326148,id76
6,45010177,45012319,id77
7,92833613,92834925,id78
15,49376252,49378749,id79
1,135584296,135585577,id80
1,120648931,120651860,id81
8,118696423,118697449,id82
6,106821660,106824369,id83
7,21376060,21379555,id84
5,144913228,144992700,id85
5,105740495,105803401,id86
4,127530989,127533299,id87
2,21348974,21353404,id88
12,12219563,12220858,id89
3,103316935,103321311,id90
4,46662619,46667133,id91
3,41513195,41515293,id92
12,15093660,15094679,id93
13,58562741,58564661,id94
2,91101377,91102575,id95
4,113905190,113906799,id96
3,74133082,74140120,id97
18,60785076,60786406,id98
2,76002370,76003650,id99
5,140190694,140192290,id100
6,56525815,56526962,id101
16,38364034,38365789,id102
2,27696094,27697347,id103
1,93235651,93238603,id104
9,43486300,43487980,id105
18,69550865,69551908,id106
12,31028362,31029868,id107
6,143125930,143129047,id108
4,129351371,129352588,id109
11,31673179,31674961,id110
1,87914739,87916497,id111
5,132555406,132556624,id112
14,59979056,59980741,id113
7,77802974,77804489,id114
5,113561724,113563487,id115
7,145919109,145920130,id116
12,103460581,103462278,id117
12,76935239,76938175,id118
13,49103764,49105521,id119
1,44827033,44830222,id120
7,81209174,81210860,id121
12,3689927,3692467,id122
13,14715901,14717143,id123
2,8814694,8817730,id124
17,22191395,22192510,id125
10,126757196,126758209,id126
2,130065286,130067801,id127
16,11103266,11104605,id128
11,44169793,44171211,id129
3,158201206,158203094,id130
9,122562416,122565807,id131
1,60462534,60464074,id132
18,36325827,36326929,id133
3,25247333,25248606,id134
21,7546188,7548581,id135
4,147854152,147856379,id136
9,97387748,97388994,id137
3,19869614,19876206,id138
7,80757192,80759184,id139
5,53038848,53055190,id140
11,17933353,17934797,id142
5,152909901,152926231,id143
8,78697033,78699047,id144
8,101423609,101429773,id145
3,165186225,165189185,id146
14,92793847,92795404,id147
7,112025221,112026649,id148
2,182631938,182634660,id149
4,136531230,136533149,id150
2,39826284,39827410,id151
3,62057633,62059292,id152
2,31990951,31996961,id153
14,42375115,42376475,id154
9,122931287,122935666,id155
1,247757020,247758853,id156
10,34975146,34978108,id157
5,177039511,177040896,id158
2,147069420,147070555,id159
3,13375948,13438088,id160
8,9261100,9289724,id161
21,6390005,6391500,id162
2,137225529,137281220,id163
2,163951257,163980850,id164
9,50112788,50114857,id165
1,60565044,60569244,id166
4,115217941,115219020,id167
6,168384233,168386299,id168
6,34094288,34095899,id169
2,127439843,127441348,id170
3,142242961,142244506,id171
12,107759901,107761225,id172
1,198138353,198139845,id173
21,2464565,2465762,id174
15,42538557,42539962,id175
17,69245056,69246311,id176
2,36014103,36015636,id177
2,100155387,100156419,id178
15,42647791,42649622,id179
3,139718948,139721384,id180
21,36079559,36080824,id181
12,85065344,85066421,id182
3,186058028,186063054,id183
1,41399243,41401368,id184
12,125407697,125409829,id185
2,45433815,45435467,id186
6,162661408,162665166,id187
8,139229924,139231233,id188
8,143910618,143913717,id189
2,133579904,133581656,id190
14,23895395,23897445,id191
5,143715012,143717202,id192
5,11098603,11099855,id193
5,172152231,172153725,id194
12,108953112,108954189,id195
13,47774837,47775951,id196
1,102208391,102210128,id197
13,42758309,42759609,id198
9,1180085,1181617,id199
6,67176666,67177869,id200
9,42884548,42885761,id201
20,35940807,35942974,id202
1,110866939,110868805,id203
12,4741814,4742939,id204
7,15396428,15397469,id205
6,156535350,156537535,id206
9,3087330,3090458,id207
21,16710947,16713910,id208
10,95355373,95357958,id209
14,16364316,16365534,id210
1,218479320,218481227,id211
6,123004862,123007300,id212
7,82681866,82686009,id213
2,189567566,189568941,id214
9,8944719,8994010,id215
6,83027128,83334699,id216
8,135040506,135042327,id217
1,135315083,135344534,id218
14,49590909,49597064,id219
4,94425361,94427388,id220
19,36353514,36397313,id221
4,152272526,152300753,id222
13,20447768,20453862,id223
3,35512235,35515777,id224
11,98978642,99012785,id225
6,21964599,21966435,id226
8,20765665,20803792,id227
6,123476689,123487529,id228
21,39793049,39794162,id229
14,20740378,20758231,id230
4,176603773,176605672,id231
3,58741521,58745108,id232
1,141754011,141755798,id233
12,115899775,115901595,id234
8,38879828,38880966,id235
4,112318744,112319883,id236
8,132755656,132757630,id237
12,109467127,109474245,id238
3,162780373,162783726,id239
2,48507293,48511048,id240
2,131970652,131972413,id241
5,80792430,80793581,id242
8,93370592,93372582,id243
2,217615533,217618159,id244
10,67179747,67181781,id245
13,61031819,61033802,id246
16,53738385,53739434,id247
11,31474113,31475988,id248
5,156874519,156876601,id249
12,89335780,89338185,id250
3,60414518,60420452,id251
13,42938035,42946899,id252
3,138658335,138736443,id253
11,34125742,34232185,id254
11,97305321,97307794,id255
15,50723577,50724851,id256
13,59040623,59041722,id257
2,105025716,105026811,id258
6,7316064,7317364,id259
7,94578517,94676166,id260
20,1883880,1909267,id261
2,70887665,70976603,id262
17,65258253,65259908,id263
11,72916454,72920691,id265
11,89271387,89273432,id266
22,11296083,11297572,id267
3,112453198,112455002,id268
3,96197626,96198706,id269
5,40184427,40186057,id270
8,75026909,75028378,id271
3,182351671,182352968,id272
10,37023216,37024872,id273
3,188230199,188231821,id274
4,80773538,80775851,id275
3,28320534,28321748,id276
12,10513462,10586466,id277
6,29097880,29099885,id278
13,111286822,111288458,id279
19,42514124,42516320,id280
2,204870562,204872141,id281
7,137289329,137291106,id282
2,147074163,147075641,id283
2,81316029,81348308,id284
9,10780857,10806715,id285
16,62690625,62692516,id286
15,71443423,71470069,id287
20,11550016,12093865,id288
1,215659195,216081851,id289
1,101907801,102356895,id290
15,43136966,43147847,id291
16,2696849,2759270,id292
17,52563196,52570252,id293
4,73237696,73252407,id294
12,69762380,69823950,id295
1,237945017,237952973,id296
14,2682242,2803065,id297
2,46334312,46339627,id298
19,55265060,55338946,id299
3,60840061,60959140,id300
3,128878206,129151117,id301
4,153428663,153430275,id302
20,3916354,3921051,id303
18,72958740,73003465,id304
2,75145778,75163435,id305
15,101357046,101361986,id306
17,1364701,1375705,id307
15,34313181,34669761,id308
14,7303947,7416609,id309
12,65710908,65776956,id310
6,103843335,104673684,id311
2,125095224,126064065,id312
3,10141192,10215919,id313
2,213520669,213523199,id314
5,30492451,30579309,id315
3,42375037,42389483,id316
7,76042284,76046111,id317
1,141659825,141665038,id318
17,61803230,62655422,id319
12,104118274,104269723,id320
12,110076746,110085490,id321
20,13930904,13932451,id322
3,43857366,43859015,id323
3,155801669,155806330,id324
13,40380123,40381304,id325
9,84079255,84082080,id326
10,48848544,48937821,id327
3,195974598,196257978,id328
3,197728933,197781435,id329
10,79507531,79547338,id330
2,169699837,169736761,id331
17,24347526,25277125,id332
7,101476565,101953533,id333
1,90271031,90297117,id334
11,73241391,73243911,id335
1,229518519,229520091,id336
13,54611152,54612821,id337
18,10800578,10801625,id338
22,8237600,8241894,id339
22,33220397,33225212,id341
17,62593275,62599068,id342
4,159375907,159377143,id343
21,2765964,2767205,id344
1,20301081,20302168,id345
7,41831618,41832692,id346
3,80388292,80390043,id347
17,65748599,65750140,id348
7,119899465,119925713,id349
11,100115566,100139338,id350
6,98885878,98887238,id351
1,225117038,225120493,id352
1,176430552,176433781,id353
9,24760206,24761251,id354
16,24786390,24787997,id355
