chr,coor_s,coor_e,ids
3,74446940,74644606,id1
3,181605306,181645596,id2
14,87588625,87776645,id3
8,9579452,9810756,id4
18,29429407,29433440,id5
1,221473122,221516598,id6
20,29590990,29596305,id7
10,21435145,21460967,id8
3,123643632,123648268,id9
1,133482583,133486999,id11
10,19953186,19985449,id12
17,49655229,49660830,id13
13,108266228,108296531,id14
2,52292144,52324717,id15
18,9497461,9508388,id16
13,41983057,41996777,id17
19,54729171,54760491,id18
1,53336927,53344317,id19
1,40171145,40182696,id20
11,57441140,57443403,id21
1,127101338,127104016,id22
2,156995819,156998477,id23
2,189915824,189917807,id24
12,106879230,106929975,id25
14,45714460,45745524,id26
2,53642573,53644598,id27
13,70707364,70709723,id28
11,87236706,87244659,id29
22,34463287,34465077,id30
4,178747768,178779525,id31
2,87965615,87968324,id32
2,212744758,212748643,id33
1,212633267,212642269,id34
3,71871459,71877482,id35
2,198474845,198476262,id36
8,63910612,63912581,id37
10,80149801,80151720,id38
1,124510578,124516917,id39
8,119882311,119902171,id40
21,3166287,3203355,id41
8,38906304,38908730,id42
4,64518359,64520769,id43
1,170807869,170906930,id44
2,162648055,162761271,id45
4,87645537,87916783,id46
3,95995888,95998593,id47
5,146645835,146664225,id48
6,70335644,70353957,id49
8,115815148,115816426,id50
7,39904364,39915291,id51
6,11039244,11059389,id52
7,100459475,100480293,id53
12,75677050,75679839,id54
18,53838679,53845571,id55
2,226171878,226296568,id56
13,16428615,16446567,id57
6,22125538,22197050,id58
18,32326671,32358343,id59
5,85292761,85295805,id60
20,60718143,60755001,id61
1,189923603,189960832,id62
4,129430837,129486861,id63
5,43079855,43128760,id64
3,57934325,57935673,id65
1,104243905,104246341,id66
8,75719563,75731427,id67
4,167084485,167097696,id68
15,77048824,77050147,id69
8,116122441,116139331,id70
2,105041064,105044459,id71
2,18778960,18784097,id72
7,121219763,121266556,id73
3,114045894,114052408,id75
3,130319715,130321240,id76
18,28726580,28728722,id77
1,82095745,82097057,id78
12,52703501,52705998,id79
15,101248917,101250198,id80
8,44787844,44790773,id81
2,69441850,69442876,id82
7,136039854,136042563,id83
14,86846302,86849797,id84
5,59815109,59894581,id85
3,67962317,68025223,id86
10,73025373,73027683,id87
10,30060446,30064876,id88
5,35909808,35911103,id89
22,40917627,40922003,id90
5,153507886,153512400,id91
13,22861145,22863243,id92
1,116605433,116606452,id93
8,69592419,69594339,id94
8,5128785,5129983,id95
8,119807076,119808685,id96
15,58946003,58953041,id97
2,236891488,236892818,id98
13,19641023,19642303,id99
18,41458682,41460278,id100
1,180736001,180737148,id101
15,101001737,101003492,id102
14,62421188,62422441,id103
1,201840799,201843751,id104
8,112862108,112863788,id105
3,108353753,108354796,id106
2,166432742,166434248,id107
1,93539542,93542659,id108
1,123073563,123074780,id109
13,16765028,16766810,id110
9,125462717,125464475,id111
5,115472366,115473584,id112
9,56908472,56910157,id113
7,125788096,125789611,id114
1,29061911,29063674,id115
9,104380460,104381481,id116
13,64957035,64958732,id117
4,26190716,26193652,id118
3,30561358,30563115,id119
5,72340232,72343421,id120
5,127633706,127635392,id121
8,47074446,47076986,id122
1,131489069,131490311,id123
6,120535691,120538727,id124
2,180166623,180167738,id125
5,68151778,68152791,id126
4,29570607,29573122,id127
2,42541182,42542521,id128
18,10250262,10251680,id129
5,178322906,178324794,id130
5,114432465,114435856,id131
2,28752643,28754183,id132
4,135371865,135372967,id133
13,63075076,63076349,id134
6,164196578,164198971,id135
9,23437290,23439517,id136
4,81856902,81858148,id137
13,45520035,45526627,id138
2,241389244,241391236,id139
1,146519194,146535536,id140
4,6634363,6635807,id142
1,53244697,53261027,id143
8,110608395,110610409,id144
2,80964822,80970986,id145
12,33140955,33143915,id146
3,153612193,153613750,id147
1,99820809,99822237,id148
15,43903309,43906031,id149
9,93509212,93511131,id150
1,84786400,84787526,id151
6,56324199,56325858,id152
1,147428233,147434243,id153
1,158272891,158274251,id154
5,93948630,93953009,id155
11,13663729,13665562,id156
1,139373773,139376735,id157
12,64920331,64921716,id158
2,200158598,200159733,id159
11,3822005,3884145,id160
22,2607732,2636356,id161
10,52396189,52397684,id162
12,104692010,104747701,id163
13,87894375,87923968,id164
7,84733334,84735403,id165
13,53348807,53353007,id166
20,64327868,64328947,id167
10,131259311,131261377,id168
10,127754246,127755857,id169
1,148498997,148500502,id170
12,121953259,121954804,id171
1,78425345,78426669,id172
12,55234735,55236227,id173
4,120044658,120045855,id174
3,93381704,93383109,id175
13,41654839,41656094,id176
8,24799921,24801454,id177
1,163447598,163448630,id178
9,39819429,39821260,id179
2,63807082,63809518,id180
10,26802206,26803471,id181
8,36453470,36454547,id182
10,122242714,122247740,id183
3,38222505,38224630,id184
3,85755066,85757198,id185
18,62489015,62490667,id186
10,12926747,12930505,id187
13,68927368,68928677,id188
2,78822094,78825193,id189
11,81534753,81536505,id190
13,99517644,99519694,id191
10,34299631,34301821,id192
2,167996993,167998245,id193
9,120406467,120407961,id194
1,238348856,238349933,id195
14,28998308,28999422,id196
6,73503774,73505511,id197
9,59183958,59185258,id198
5,91553485,91555017,id199
10,6897815,6899018,id200
7,36811986,36813199,id201
1,37082493,37084660,id202
15,66952932,66954798,id203
9,98171834,98172959,id204
12,14609163,14610204,id205
21,39750226,39752411,id206
15,25594180,25597308,id207
11,123340976,123343939,id208
7,126616896,126619481,id209
6,128990177,128991395,id210
3,114910561,114912468,id211
17,81155055,81157493,id212
4,56339044,56343187,id213
8,130928134,130929509,id214
8,110783429,110832720,id215
