chr,coor_s,coor_e,ids
11,63333856,63531522,id1
8,6097355,6137645,id2
15,14075834,14263854,id3
19,31681986,31913290,id4
19,55167408,55171441,id5
4,180251158,180294634,id6
3,158496914,158502229,id7
3,169977410,170003232,id8
8,13741888,13746524,id9
15,35922543,35926959,id11
2,136956242,136988505,id12
12,61942769,61948370,id13
22,18951312,18981615,id14
8,130506478,130539051,id15
1,79759095,79770022,id16
1,35374507,35388227,id17
1,246004550,246035870,id18
16,30380642,30388032,id19
7,47999995,48011546,id20
17,69457205,69459468,id21
17,59188050,59190728,id22
3,2815702,2818360,id23
18,3686281,3688264,id24
9,22902320,22953065,id25
3,135850101,135881165,id26
10,43471218,43473243,id27
10,124000445,124002804,id28
10,91198045,91205998,id29
5,15114679,15116469,id30
16,53908131,53939888,id31
11,78118799,78121508,id32
8,93572840,93576725,id33
2,75373999,75383001,id34
17,44310818,44316841,id35
4,54367474,54368891,id36
7,151720176,151722145,id37
12,120525908,120527827,id38
6,4832189,4838528,id39
18,46684549,46704409,id40
10,63071499,63108567,id41
10,120155711,120158137,id42
6,151827434,151829844,id43
4,159490337,159589398,id44
8,957250,1070466,id45
10,72066151,72337397,id46
16,36370059,36372764,id47
3,172374160,172392550,id48
1,162906219,162924532,id49
5,110568186,110569464,id50
10,24945635,24956562,id51
13,12291876,12312021,id52
15,3107926,3128744,id53
6,147565677,147568466,id54
3,31761303,31768195,id55
22,34065198,34189888,id56
12,93142855,93160807,id57
2,131000482,131071994,id58
4,129436044,129467716,id59
11,119196478,119199522,id60
16,89625115,89661973,id61
3,144772653,144809882,id62
7,75171118,75227142,id63
15,19728458,19777363,id64
2,191379410,191380758,id65
16,6701288,6703724,id66
3,82252411,82264275,id67
14,98694108,98707319,id68
1,182468225,182469548,id69
17,20870647,20887537,id70
5,169196197,169199592,id71
5,112406090,112411227,id72
7,5003990,5050783,id73
3,136532021,136538535,id75
2,12206710,12208235,id76
20,47323311,47325453,id77
5,45366970,45368282,id78
5,92700622,92703119,id79
14,6753286,6754567,id80
2,29049202,29052131,id81
14,84759597,84760623,id82
6,79533539,79536248,id83
10,5838400,5841895,id84
14,51191585,51271057,id85
7,81704196,81767102,id86
3,178855083,178857393,id87
12,106813825,106818255,id88
3,123304576,123305871,id89
8,14357128,14361504,id90
20,40081879,40086393,id91
9,103853856,103855954,id92
11,85984909,85985928,id93
6,94191323,94193243,id94
11,105300596,105301794,id95
5,54378629,54380238,id96
20,24181324,24188362,id97
11,112513124,112514454,id98
7,76720218,76721498,id99
3,177315475,177317071,id100
7,135497358,135498505,id101
16,26056779,26058534,id102
20,4829341,4830594,id103
17,42850284,42853236,id104
20,3007753,3009433,id105
10,115991540,115992583,id106
11,80219926,80221432,id107
2,175271184,175274301,id108
5,165414669,165415886,id109
7,68766994,68768776,id110
13,93797862,93799620,id111
5,104382785,104384003,id112
19,25104535,25106220,id113
12,96936780,96938295,id114
13,32402207,32403970,id115
12,82713577,82714598,id116
6,33859905,33861602,id117
16,44144902,44147838,id118
17,64697220,64698977,id119
8,86187493,86190682,id120
14,68177436,68179122,id121
11,60313297,60315837,id122
7,44924799,44926041,id123
1,219287962,219290998,id124
5,78865620,78866735,id125
7,84982626,84983639,id126
13,19823032,19825547,id127
3,9231363,9232702,id128
1,7534178,7535596,id129
2,146158614,146160502,id130
15,39032456,39035847,id131
13,13746934,13748474,id132
14,27236917,27238019,id133
6,119478454,119479727,id134
10,32016445,32018838,id135
10,23048604,23050831,id136
7,48970892,48972138,id137
13,11446521,11453113,id138
8,59631225,59633217,id139
11,87006944,87023286,id140
13,22222493,22223937,id142
2,58951895,58968225,id143
6,23888182,23890196,id144
9,28260228,28266392,id145
12,92120018,92122978,id146
11,101279122,101280679,id147
9,119814228,119815656,id148
11,5128245,5130967,id149
2,91451455,91453374,id150
16,90117275,90118401,id151
3,34471959,34473618,id152
6,19540447,19546457,id153
19,54518714,54520074,id154
6,36022210,36026589,id155
18,39370158,39371991,id156
14,34182942,34185904,id157
10,91784963,91786348,id158
6,125508972,125510107,id159
3,188440831,188502971,id160
3,30342990,30371614,id161
2,156185410,156186905,id162
7,114119820,114175511,id163
12,56089657,56119250,id164
13,70002178,70004247,id165
4,76007159,76011359,id166
2,167174047,167175126,id167
3,163728276,163730342,id168
6,167338807,167340418,id169
4,136459244,136460749,id170
4,18538369,18539914,id171
4,57425837,57427161,id172
3,197879477,197880969,id173
18,18765320,18766517,id174
18,35655245,35656650,id175
22,29783243,29784498,id176
3,114999604,115001137,id177
7,2113701,2114733,id178
13,82596779,82598610,id179
1,75886426,75888862,id180
10,30656858,30658123,id181
1,3107091,3108168,id182
9,63181550,63186576,id183
8,65301314,65303439,id184
5,157376481,157378613,id185
7,113909002,113910654,id186
11,43272224,43275982,id187
12,31442771,31444080,id188
3,32990016,32993115,id189
18,26533398,26535150,id190
5,528957,531007,id191
4,134586144,134588334,id192
12,127257920,127259172,id193
12,80575058,80576552,id194
10,117276904,117277981,id195
2,154992674,154993788,id196
8,48594177,48595914,id197
11,79109049,79110349,id198
2,127058600,127060132,id199
1,40410693,40411896,id200
1,189074602,189075815,id201
16,86844002,86846169,id202
8,14694524,14696390,id203
5,64654033,64655158,id204
2,222428838,222429879,id205
10,19479075,19481260,id206
21,35160476,35163604,id207
18,75842633,75845596,id208
7,76641393,76643978,id209
14,4668673,4669891,id210
11,16639908,16641815,id211
12,101671899,101674337,id212
8,87620965,87625108,id213
10,98745968,98747343,id214
12,105139116,105188407,id215
10,119678311,119985882,id216
6,72909281,72911102,id217
7,79463003,79492454,id218
11,111855301,111861456,id219
6,64818850,64820877,id220
16,4946045,4989844,id221
13,83115046,83143273,id222
8,91398705,91404799,id223
2,41991110,41994652,id224
12,66467680,66501823,id225
20,16974729,16976565,id226
4,83884686,83922813,id227
15,40488257,40499097,id228
18,4331747,4332860,id229
9,76837921,76855774,id230
1,109028830,109030729,id231
22,38084063,38087650,id232
1,124329710,124331497,id233
22,28117227,28119047,id234
13,57693035,57694173,id235
11,102822962,102824101,id236
14,30168136,30170110,id237
6,31693942,31701060,id238
15,5631580,5634933,id239
15,24233074,24236829,id240
1,228888627,228890388,id241
2,70845277,70846428,id242
12,2234040,2236030,id243
2,235257610,235260236,id244
7,13794897,13796931,id245
7,9547551,9549534,id246
8,116251577,116252626,id247
1,247189195,247191070,id248
4,89044952,89047034,id249
2,235457649,235460054,id250
21,40505886,40511820,id251
14,70239462,70248326,id252
20,6423835,6501943,id253
4,39831423,39937866,id254
16,47663245,47665718,id255
17,13500355,13501629,id256
16,77934223,77935322,id257
11,123642595,123643690,id258
7,44841826,44843126,id259
1,91929979,92027628,id260
7,109291685,109317072,id261
12,14825964,14914902,id262
2,79417081,79418736,id263
2,46163649,46167886,id265
14,89788043,89790088,id266
10,78595019,78596508,id267
9,95660030,95661834,id268
11,21789606,21790686,id269
15,20348720,20350350,id270
8,52150891,52152360,id271
10,73281887,73283184,id272
14,14648240,14649896,id273
8,72446381,72448003,id274
19,3318593,3320906,id275
6,128407072,128408286,id276
4,77540859,77613863,id277
10,68652827,68654832,id278
7,89172275,89173911,id279
1,100695029,100697225,id280
1,180122083,180123662,id281
6,79015644,79017421,id282
13,89791818,89793296,id283
5,136187511,136219790,id284
12,120678878,120704736,id285
1,68901655,68903546,id286
2,47156544,47183190,id287
9,90924354,91468203,id288
3,61807732,62230388,id289
7,43334717,43783811,id290
5,91078147,91089028,id291
13,6444792,6507213,id292
14,6407533,6414589,id293
19,25663619,25678330,id294
2,87987499,88049069,id295
5,104524155,104532111,id296
1,49769227,49890050,id297
9,104084928,104090243,id298
2,222326285,222400171,id299
10,36777257,36896336,id300
4,123033242,123306153,id301
22,26093300,26094912,id302
8,64910642,64915339,id303
6,77931017,77975742,id304
2,196928479,196946136,id305
7,84743914,84748854,id306
16,35139250,35150254,id307
3,104235565,104592145,id308
13,62200025,62312687,id309
12,79177917,79243965,id310
14,86477913,87308262,id311
19,40522983,41491824,id312
6,119450605,119525332,id313
4,131654403,131656933,id314
10,102522616,102609474,id315
3,79405023,79419469,id316
18,52531505,52535332,id317
11,76741971,76747184,id318
12,58647831,59500023,id319
11,78663951,78815400,id320
12,102393354,102402098,id321
17,28387960,28389507,id322
9,79159765,79161414,id323
14,22584951,22589612,id324
12,19205306,19206487,id325
14,9169102,9171927,id326
13,51961556,52050833,id327
17,46359318,46642698,id328
9,108211179,108263681,id329
3,182654531,182694338,id330
18,51444016,51480940,id331
4,89664131,90593730,id332
6,151525495,152002463,id333
13,25632967,25659053,id334
8,36759381,36761901,id335
7,18367223,18368795,id336
14,43768800,43770469,id337
1,245690796,245691843,id338
7,801979,806273,id339
2,201110496,201115311,id341
2,9681260,9687053,id342
