chr,coor_s,coor_e,ids
18,6179123,6376789,id1
8,8692076,8732366,id2
14,18511619,18699639,id3
11,124019407,124250711,id4
3,42574740,42578773,id5
19,56902121,56945597,id6
5,175919605,175924920,id7
2,40027206,40053028,id8
6,70789081,70793717,id9
15,73614213,73618629,id11
22,15464630,15496893,id12
5,165959273,165964874,id13
12,15254044,15284347,id14
6,19226848,19259421,id15
5,113685955,113696882,id16
12,9490755,9504475,id17
15,58715202,58746522,id18
1,204691645,204699035,id19
13,87892506,87904057,id20
1,207100805,207103068,id21
14,99213977,99216655,id22
8,53031833,53034491,id23
12,46837806,46839789,id24
6,169864650,169915395,id25
20,12053729,12084793,id26
13,109117031,109119056,id27
2,6676800,6679159,id28
3,6348787,6356740,id29
8,39638566,39640356,id30
6,43527163,43558920,id31
12,75024384,75027093,id32
10,85061967,85065852,id33
20,48982798,48991800,id34
1,123865899,123871922,id35
8,99727538,99728955,id36
17,18949313,18951282,id37
15,82710355,82712274,id38
3,190662260,190668599,id39
10,106934801,106954661,id40
5,70111882,70148950,id41
2,189659128,189661554,id42
2,189779029,189781439,id43
1,228825752,228924813,id44
12,81125887,81239103,id45
2,155488563,155759809,id46
10,46624743,46627448,id47
9,132249918,132268308,id48
13,43364005,43382318,id49
20,49315439,49316717,id50
13,35214347,35225274,id51
5,38759105,38779250,id52
13,78926288,78947106,id53
3,118553185,118555974,id54
18,57762027,57768919,id55
3,169114505,169239195,id56
10,51629472,51647424,id57
16,8866946,8938458,id58
10,105774959,105806631,id59
11,63478401,63481445,id60
7,49118975,49155833,id61
9,94649867,94687096,id62
2,65192127,65248151,id63
22,6798562,6847467,id64
7,96282189,96283537,id65
3,116461408,116463844,id66
20,25705631,25717495,id67
3,175402761,175415972,id68
10,109507002,109508325,id69
1,8038721,8055611,id70
2,42358647,42362042,id71
4,76554664,76559801,id72
5,108672816,108719609,id73
2,200446970,200453484,id75
20,46785063,46786588,id76
15,45274467,45276609,id77
15,19605255,19606567,id78
18,77279620,77282117,id79
2,130542894,130544175,id80
6,30119226,30122155,id81
6,92555197,92556223,id82
7,51616277,51618986,id83
20,35871713,35875208,id84
1,206236274,206315746,id85
1,193394788,193457694,id86
4,23382671,23384981,id87
12,125851583,125856013,id88
4,13908944,13910239,id89
1,215280422,215284798,id90
8,119670730,119675244,id91
4,14795171,14797269,id92
15,71887581,71888600,id93
8,136334702,136336622,id94
18,267337,268535,id95
9,134533051,134534660,id96
9,109369497,109376535,id97
10,58614396,58615726,id98
12,125433155,125434435,id99
1,98940342,98941938,id100
12,62229220,62230367,id101
11,49060997,49062752,id102
5,109843397,109844650,id103
4,108778927,108781879,id104
6,118987016,118988696,id105
4,135820284,135821327,id106
20,30162509,30164015,id107
13,36554147,36557264,id108
2,28736424,28737641,id109
13,113658077,113659859,id110
4,108562278,108564036,id111
3,5638669,5639887,id112
6,143565124,143566809,id113
9,108789910,108791425,id114
12,53535894,53537657,id115
15,5321660,5322681,id116
9,136998188,136999885,id117
8,18736386,18739322,id118
6,130692511,130694268,id119
18,3706105,3709294,id120
14,91065648,91067334,id121
14,52522834,52525374,id122
13,66431656,66432898,id123
18,2629727,2632763,id124
20,53699156,53700271,id125
9,90517742,90518755,id126
1,34263822,34266337,id127
13,34787891,34789230,id128
5,58516498,58517916,id129
5,151631481,151633369,id130
22,46380710,46384101,id131
4,172347693,172349233,id132
17,69047688,69048790,id133
1,242980767,242982040,id134
9,137489408,137491801,id135
18,25392181,25394408,id136
15,44383303,44384549,id137
3,65982531,65989123,id138
3,176894335,176896327,id139
5,121021239,121037581,id140
16,59077043,59078487,id142
1,131401145,131417475,id143
14,77173600,77175614,id144
1,238886555,238892719,id145
8,36454632,36457592,id146
7,8001835,8003392,id147
14,2511962,2513390,id148
8,104314030,104316752,id149
10,24526776,24528695,id150
6,38458013,38459139,id151
16,6213315,6214974,id152
9,9080852,9086862,id153
10,28554850,28556210,id154
4,178271151,178275530,id155
4,165986051,165987884,id156
4,26061828,26064790,id157
3,116697229,116698614,id158
19,21796803,21797938,id159
4,164211286,164273426,id160
17,68951349,68979973,id161
19,44361560,44363055,id162
8,102914420,102970111,id163
5,126146906,126176499,id164
11,32217374,32219443,id165
4,153787102,153791302,id166
16,26877540,26878619,id167
1,107025765,107027831,id168
9,15780048,15781659,id169
12,62796498,62798003,id170
8,64802049,64803594,id171
1,64332071,64333395,id172
15,87755259,87756751,id173
12,118169470,118170667,id174
10,51406531,51407936,id175
1,15785503,15786758,id176
7,104023751,104025284,id177
20,47118134,47119166,id178
9,84776277,84778108,id179
13,74438349,74440785,id180
10,71432188,71433453,id181
2,60634857,60635934,id182
3,196552267,196557293,id183
8,71563399,71565524,id184
9,111835603,111837735,id185
3,160963058,160964710,id186
10,120284611,120288369,id187
11,7841209,7842518,id188
4,109134429,109137528,id189
12,45977558,45979310,id190
5,94419183,94421233,id191
4,48004624,48006814,id192
2,141463605,141464857,id193
13,70691601,70693095,id194
7,6107959,6109036,id195
5,56453161,56454275,id196
12,97567389,97569126,id197
14,6857976,6859276,id198
4,74234593,74236125,id199
1,184366240,184367443,id200
14,68328768,68329981,id201
4,20601199,20603366,id202
1,16434362,16436228,id203
13,44918615,44919740,id204
2,44659856,44660897,id205
1,134502414,134504599,id206
6,89870943,89874071,id207
8,59935221,59938184,id208
9,137967375,137969960,id209
8,48280999,48282217,id210
2,203147429,203149336,id211
18,18711688,18714126,id212
16,59666797,59670940,id213
2,153255887,153257262,id214
3,86202077,86251368,id215
7,1263372,1570943,id216
8,10356604,10358425,id217
17,59124607,59154058,id218
5,11394377,11400532,id219
3,195624142,195626169,id220
8,51375852,51419651,id221
7,15231511,15259738,id222
15,50362575,50368669,id223
1,188568403,188571945,id224
16,61522090,61556233,id225
13,63710457,63712293,id226
22,19833907,19872034,id227
13,57526573,57537413,id228
21,15778153,15779266,id229
11,94609144,94626997,id230
6,166009518,166011417,id231
17,35045750,35049337,id232
11,122645357,122647144,id233
2,97404437,97406257,id234
2,43517869,43519007,id235
16,1415616,1416755,id236
19,47846307,47848281,id237
9,86852600,86859718,id238
7,117485044,117488397,id239
15,96443354,96447109,id240
3,122088206,122089967,id241
14,85423622,85424773,id242
1,122837402,122839392,id243
1,107732545,107735171,id244
4,140214895,140216929,id245
4,178403394,178405377,id246
20,16129749,16130798,id247
15,13413750,13415625,id248
9,13688403,13690485,id249
5,27345594,27347999,id250
8,126112755,126118689,id251
17,8623388,8632252,id252
8,118465612,118543720,id253
1,139862227,139968670,id254
21,4449094,4451567,id255
1,1849878,1851152,id256
16,76985997,76987096,id257
2,102237108,102238203,id258
22,26641044,26642344,id259
6,86857171,86954820,id260
5,150454305,150479692,id261
6,51175354,51264292,id262
2,130091415,130093070,id263
10,55441525,55445762,id265
17,68581582,68583627,id266
2,29300195,29301684,id267
11,97313699,97315503,id268
9,51548731,51549811,id269
1,38773129,38774759,id270
14,55965620,55967089,id271
11,48899738,48901035,id272
5,146216812,146218468,id273
4,13939937,13941559,id274
3,2836102,2838415,id275
10,41467004,41468218,id276
17,12262163,12335167,id277
18,25781880,25783885,id278
5,124529326,124530962,id279
16,22827256,22829452,id280
18,55593273,55594852,id281
10,25161791,25163568,id282
12,1535949,1537427,id283
11,5067914,5100193,id284
9,67999948,68025806,id285
9,35879182,35881073,id286
11,106327157,106353803,id287
4,159379173,159923022,id288
7,4573344,4996000,id289
1,37844173,38293267,id290
18,14157784,14168665,id291
20,27458278,27520699,id292
10,122429782,122436838,id293
3,185082067,185096778,id294
4,176095850,176157420,id295
20,11538354,11546310,id296
6,115443405,115564228,id297
15,89862151,89867466,id298
1,201516512,201590398,id299
6,17678206,17797285,id300
9,128550538,128823449,id301
8,10016127,10017739,id302
7,101114706,101119403,id303
1,182360473,182405198,id304
6,87371918,87389575,id305
9,98407048,98411988,id306
3,95205749,95216753,id307
16,24922953,25279533,id308
1,90966310,91078972,id309
19,11838650,11904698,id310
6,25512293,26342642,id311
8,14605014,15573855,id312
7,91275731,91350458,id313
1,14907306,14909836,id314
3,123749977,123836835,id315
12,115366739,115381185,id316
19,23810142,23813969,id317
7,36503335,36508548,id318
10,30636389,31488581,id319
20,4159818,4311267,id320
14,88583013,88591757,id321
22,24272158,24273705,id322
3,28026687,28028336,id323
7,83785196,83789857,id324
12,57861735,57862916,id325
7,56976913,56979738,id326
16,44436248,44525525,id327
16,9392791,9676171,id328
7,121989015,122041517,id329
11,41530578,41570385,id330
9,420728,457652,id331
4,179900424,180830023,id332
9,119801811,120278779,id333
20,56049469,56075555,id334
6,52639947,52642467,id335
13,95095610,95097182,id336
6,122631859,122633528,id337
6,156736077,156737124,id338
2,209345661,209349955,id339
1,84178007,84182822,id341
15,18908533,18914326,id342
15,68073231,68074467,id343
1,108710513,108711754,id344
10,96855904,96856991,id345
5,81567146,81568220,id346
4,146784893,146786644,id347
9,55606696,55608237,id348
3,125142110,125168358,id349
12,112279609,112303381,id350
14,74713670,74715030,id351
9,29191771,29195226,id352
13,89801737,89804966,id353
9,79142959,79144004,id354
1,57478935,57480542,id355
2,154890326,154892086,id356
12,75428329,75438912,id358
2,26093259,26105750,id359
12,13646231,13647611,id360
17,72714372,72719173,id361
14,11789362,11790690,id362
1,159197736,159201175,id363
1,239621715,239623050,id364
17,705669,707462,id365
13,54406609,54421120,id366
21,1476475,1478292,id367
13,2717926,2722996,id368
6,98632042,98634274,id369
10,125501495,125504122,id370
3,156563498,156564644,id371
20,24928740,24941179,id372
