chr,coor_s,coor_e,ids
5,151932378,152130044,id1
5,106534693,106574983,id2
8,36271975,36459995,id3
2,37757715,37989019,id4
4,114595864,114599897,id5
2,175598068,175641544,id6
9,38828986,38834301,id7
3,68018152,68043974,id8
18,14598225,14602861,id9
1,73316234,73320650,id11
4,106725393,106757656,id12
19,50898882,50904483,id13
10,41645888,41676191,id14
2,144181140,144213713,id15
1,186501188,186512115,id16
10,131695879,131709599,id17
3,197274360,197305680,id18
11,72275124,72282514,id19
10,59886008,59897559,id20
1,166379412,166381675,id21
4,167436093,167438771,id22
3,100081137,100083795,id23
19,21245208,21247191,id24
19,19232269,19283014,id25
13,30736596,30767660,id26
5,63121169,63123194,id27
11,28044068,28046427,id28
11,101696806,101704759,id29
3,192136423,192138213,id30
7,122558805,122590562,id31
5,124702764,124705473,id32
7,124389412,124393297,id33
13,36971742,36980744,id34
4,171271840,171277863,id35
5,158777619,158779036,id36
2,205954837,205956806,id37
17,8676506,8678425,id38
13,101351912,101358251,id39
16,80854352,80874212,id40
15,15320849,15357917,id41
2,188531762,188534188,id42
8,7688171,7690581,id43
2,52471689,52570750,id44
5,145399370,145512586,id45
8,30795779,31067025,id46
2,133117612,133120317,id47
1,170689274,170707664,id48
19,22957106,22975419,id49
7,133401875,133403153,id50
16,59257573,59268500,id51
11,120913505,120933650,id52
9,17854613,17875431,id53
12,78199200,78201989,id54
12,44886971,44893863,id55
11,117652860,117777550,id56
5,168580312,168598264,id57
12,17053277,17124789,id58
22,18958090,18989762,id59
1,52586499,52589543,id60
10,124688425,124725283,id61
2,209951068,209988297,id62
5,93453826,93509850,id63
15,25529162,25578067,id64
22,37905244,37906592,id65
9,133465126,133467562,id66
4,1686478,1698342,id67
3,162075883,162089094,id68
6,2351687,2353010,id69
1,18384530,18401420,id70
7,3516436,3519831,id71
2,193842182,193847319,id72
12,23330529,23377322,id73
5,66064499,66071013,id75
8,80146459,80147984,id76
10,14990897,14993039,id77
11,60269696,60271008,id78
17,52272079,52274576,id79
7,46082901,46084182,id80
4,185308231,185311160,id81
10,14686829,14687855,id82
3,137270960,137273669,id83
19,46915585,46919080,id84
14,106609491,106688963,id85
15,24963243,25026149,id86
16,707147,709457,id87
9,73047937,73052367,id88
3,172196118,172197413,id89
5,134158375,134162751,id90
8,91389332,91393846,id91
2,99150147,99152245,id92
1,48387726,48388745,id93
18,71793162,71795082,id94
1,115995854,115997052,id95
13,32165100,32166709,id96
7,63844065,63851103,id97
13,107701989,107703319,id98
4,77389563,77390843,id99
5,124017268,124018864,id100
4,20728729,20729876,id101
8,127748208,127749963,id102
3,121018084,121019337,id103
17,60436958,60439910,id104
2,26218441,26220121,id105
2,76125205,76126248,id106
10,87433834,87435340,id107
10,85167283,85170400,id108
6,17741542,17742759,id109
8,99322697,99324479,id110
1,229866634,229868392,id111
22,5633706,5634924,id112
2,171492439,171494124,id113
9,32071966,32073481,id114
3,54173334,54175097,id115
16,39791862,39792883,id116
2,58692940,58694637,id117
3,166316753,166319689,id118
12,12003609,12005366,id119
18,72554841,72558030,id120
5,121805677,121807363,id121
8,100728818,100731358,id122
20,684010,685252,id123
19,55360377,55363413,id124
7,71995492,71996607,id125
4,6286017,6287030,id126
2,142851770,142854285,id127
14,71192039,71193378,id128
16,77998412,77999830,id129
2,56586247,56588135,id130
1,146684716,146688107,id131
8,124311676,124313216,id132
7,54201230,54202332,id133
7,103790135,103791408,id134
2,139010487,139012880,id135
1,217131274,217133501,id136
15,26474462,26475708,id137
16,52781202,52787794,id138
11,40030039,40032031,id139
6,90801271,90817613,id140
10,81719015,81720459,id142
17,7753820,7770150,id143
11,82679895,82681909,id144
11,77969651,77975815,id145
13,101575542,101578502,id146
15,71521829,71523386,id147
14,11081913,11083341,id148
5,177844886,177847608,id149
7,100758848,100760767,id150
20,57104984,57106110,id151
2,237599315,237600974,id152
17,14182712,14188722,id153
3,8513604,8514964,id154
8,14690857,14695236,id155
18,56183086,56184919,id156
14,52313269,52316231,id157
1,108358618,108360003,id158
3,58475879,58477014,id159
10,68144815,68206955,id160
14,56495295,56523919,id161
17,43742836,43744331,id162
16,4182108,4237799,id163
10,38151459,38181052,id164
9,106806301,106808370,id165
11,100870307,100874507,id166
19,34414162,34415241,id167
4,113532826,113534892,id168
3,89740556,89742167,id169
8,19296992,19298497,id170
11,100898091,100899636,id171
2,181898388,181899712,id172
14,34948375,34949867,id173
6,161506060,161507257,id174
14,73658815,73660220,id175
14,3119154,3120409,id176
19,44969489,44971022,id177
22,6415231,6416263,id178
4,146250546,146252377,id179
3,118151052,118153488,id180
2,185858247,185859512,id181
2,87784702,87785779,id182
15,85554161,85559187,id183
4,6287255,6289380,id184
9,76783369,76785501,id185
5,149698608,149700260,id186
2,77093262,77097020,id187
3,196784984,196786293,id188
14,103081208,103084307,id189
2,131424528,131426280,id190
8,80541495,80543545,id191
12,28709866,28712056,id192
6,130232602,130233854,id193
9,121809581,121811075,id194
1,90567399,90568476,id195
6,48018188,48019302,id196
1,66313517,66315254,id197
9,6727777,6729077,id198
21,37428290,37429822,id199
