chr,coor_s,coor_e,ids
2,158038534,158236200,id1
17,5134753,5175043,id2
21,19252667,19440687,id3
10,49899140,50130444,id4
1,122118001,122122034,id5
1,66484215,66527691,id6
13,20427502,20432817,id7
13,67749685,67775507,id8
14,103835090,103839726,id9
5,163300979,163305395,id11
9,76970318,77002581,id12
13,65356780,65362381,id13
2,169940303,169970606,id14
5,177981644,178014217,id15
16,16139264,16150191,id16
14,80685477,80699197,id17
14,42335775,42367095,id18
21,21955520,21962910,id19
2,239610879,239622430,id20
20,32319088,32321351,id21
18,5150090,5152768,id22
2,35734098,35736756,id23
9,134437300,134439283,id24
2,46558517,46609262,id25
5,15898790,15929854,id26
10,9988626,9990651,id27
1,229719551,229721910,id28
1,61305989,61313942,id29
2,201743709,201745499,id30
10,48519701,48551458,id31
15,4150831,4153540,id32
15,66616221,66620106,id33
5,147297099,147306101,id34
11,65789002,65795025,id35
6,165616896,165618313,id36
7,37782787,37784756,id37
4,115430319,115432238,id38
16,47641469,47647808,id39
5,54209461,54229321,id40
2,185951976,185989044,id41
2,156451013,156453439,id42
16,58945751,58948161,id43
12,106442816,106541877,id44
21,7248190,7361406,id45
5,4942801,5214047,id46
13,78635870,78638575,id47
3,96805136,96823526,id48
1,135405393,135423706,id49
5,67810341,67811619,id50
3,116264313,116275240,id51
1,16567390,16587535,id52
6,101798873,101819691,id53
17,50084313,50087102,id54
12,95727722,95734614,id55
2,54850740,54975430,id56
8,45461341,45479293,id57
10,91167630,91239142,id58
11,107804687,107836359,id59
9,36448504,36451548,id60
18,34314038,34350896,id61
8,19658494,19695723,id62
1,204929119,204985143,id63
4,4214312,4263217,id64
7,137096810,137098158,id65
14,26456279,26458715,id66
3,163927338,163939202,id67
4,103051994,103065205,id68
4,133067707,133069030,id69
17,47482973,47499863,id70
2,132669000,132672395,id71
2,158388430,158393567,id72
11,114908626,114955419,id73
10,110173,116687,id75
11,103618738,103620263,id76
6,155467989,155470131,id77
1,56207356,56208668,id78
10,54340159,54342656,id79
16,13812193,13813474,id80
3,146182201,146185130,id81
15,73031171,73032197,id82
6,98036161,98038870,id83
18,31682336,31685831,id84
9,117975975,118055447,id85
8,120404564,120467470,id86
1,14130703,14133013,id87
18,33089244,33093674,id88
17,72674932,72676227,id89
4,10682339,10686715,id90
5,130624217,130628731,id91
4,15837931,15840029,id92
2,137298390,137299409,id93
10,102280349,102282269,id94
12,109175221,109176419,id95
2,41525624,41527233,id96
22,19712054,19719092,id97
11,91633040,91634370,id98
2,160778921,160780201,id99
2,182547418,182549014,id100
4,26023175,26024322,id101
1,231007311,231009066,id102
6,16296978,16298231,id103
1,86433272,86436224,id104
8,133779766,133781446,id105
11,41442181,41443224,id106
2,196219651,196221157,id107
18,61714272,61717389,id108
18,58342495,58343712,id109
4,110003748,110005530,id110
4,161789717,161791475,id111
6,39729037,39730255,id112
17,24747340,24749025,id113
9,99296691,99298206,id114
9,24573160,24574923,id115
4,175622689,175623710,id116
1,60668110,60669807,id117
2,85538728,85541664,id118
2,15334749,15336506,id119
8,143958998,143962187,id120
5,40923715,40925401,id121
15,47038561,47041101,id122
7,5407391,5408633,id123
11,4049380,4052416,id124
9,75615003,75616118,id125
6,36703057,36704070,id126
5,78235758,78238273,id127
16,81912033,81913372,id128
2,22817176,22818594,id129
10,73453879,73455767,id130
16,45822719,45826110,id131
7,55765366,55766906,id132
14,13453539,13454641,id133
3,89144274,89145547,id134
2,242178979,242181372,id135
15,41038305,41040532,id136
22,5132860,5134106,id137
1,234239606,234246198,id138
1,113453711,113455703,id139
10,46725877,46742219,id140
14,34053775,34055219,id142
10,40240608,40256938,id143
17,72875657,72877671,id144
1,245248929,245255093,id145
2,69324014,69326974,id146
6,74349303,74350860,id147
16,71084101,71085529,id148
12,98310096,98312818,id149
1,44637978,44639897,id150
15,35747130,35748256,id151
4,124568096,124569755,id152
5,31404448,31410458,id153
11,85103346,85104706,id154
8,21649948,21654327,id155
5,56988278,56990111,id156
12,117930109,117933071,id157
7,85366463,85367848,id158
10,36545457,36546592,id159
1,146924313,146986453,id160
1,176686761,176715385,id161
11,80757347,80758842,id162
5,165394292,165449983,id163
2,172090560,172120153,id164
4,160714875,160716944,id165
9,104042798,104046998,id166
18,58960638,58961717,id167
4,189226675,189228741,id168
6,140887056,140888667,id169
5,142795896,142797401,id170
5,147874211,147875756,id171
21,3067540,3068864,id172
17,20149027,20150519,id173
15,27269321,27270518,id174
15,96059860,96061265,id175
11,53662754,53664009,id176
6,15173238,15174771,id177
22,9915411,9916443,id178
1,130825154,130826985,id179
9,32824651,32827087,id180
10,46196128,46197393,id181
8,36301936,36303013,id182
1,197119178,197124204,id183
1,103567929,103570054,id184
6,56787677,56789809,id185
4,19129977,19131629,id186
12,35010346,35014104,id187
1,111628829,111630138,id188
1,176641037,176644136,id189
4,181001163,181002915,id190
4,116187503,116189553,id191
13,53198596,53200786,id192
9,104879610,104880862,id193
6,50535976,50537470,id194
22,34490176,34491253,id195
4,69561232,69562346,id196
13,28600289,28602026,id197
16,79409720,79411020,id198
18,69809211,69810743,id199
14,8593272,8594475,id200
12,115334001,115335214,id201
6,153759138,153761305,id202
10,39306726,39308592,id203
2,169913198,169914323,id204
15,18130890,18131931,id205
9,98031243,98033428,id206
14,1106676,1109804,id207
2,160874629,160877592,id208
7,115695845,115698430,id209
2,186612694,186613912,id210
4,88484948,88486855,id211
13,50164640,50167078,id212
3,64349092,64353235,id213
7,114192659,114194034,id214
17,9793404,9842695,id215
14,86183022,86490593,id216
5,50767365,50769186,id217
7,48489522,48518973,id218
6,22903613,22909768,id219
9,34063865,34065892,id220
2,215619983,215663782,id221
4,183247745,183275972,id222
9,69420737,69426831,id223
5,112448420,112451962,id224
4,144339002,144373145,id225
2,233176328,233178164,id226
3,168396246,168434373,id227
3,10473470,10484310,id228
16,51993160,51994273,id229
4,130098112,130115965,id230
11,4531993,4533892,id231
11,118606251,118609838,id232
4,139390973,139392760,id233
1,145986593,145988413,id234
5,76704008,76705146,id235
4,844525,845664,id236
3,166805209,166807183,id237
4,50720840,50727958,id238
5,78449699,78453052,id239
5,73435720,73439475,id240
4,155698503,155700264,id241
3,131402898,131404049,id242
17,8200972,8202962,id243
6,73860273,73862899,id244
9,120595856,120597890,id245
9,118626962,118628945,id246
2,41362459,41363508,id247
8,103302814,103304689,id248
10,64474183,64476265,id249
9,114585521,114587926,id250
21,30489904,30495838,id251
8,38445902,38454766,id252
20,47095349,47173457,id253
6,74886140,74992583,id254
15,748227,750700,id255
6,118192087,118193361,id256
5,7202552,7203651,id257
7,90153762,90154857,id258
10,8753976,8755276,id259
1,243815616,243913265,id260
6,129673986,129699373,id261
1,92544560,92633498,id262
5,23796524,23798179,id263
5,14244118,14248355,id265
9,76461554,76463599,id266
3,171863665,171865154,id267
7,62690240,62692044,id268
2,113669023,113670103,id269
13,59136972,59138602,id270
16,78967635,78969104,id271
2,195092027,195093324,id272
1,114029083,114030739,id273
18,15478355,15479977,id274
17,57676266,57678579,id275
10,82178395,82179609,id276
3,43435856,43508860,id277
9,114659818,114661823,id278
7,153974390,153976026,id279
3,139897661,139899857,id280
2,74553338,74554917,id281
11,88866199,88867976,id282
3,155805795,155807273,id283
8,97140663,97172942,id284
7,113167781,113193639,id285
15,69871613,69873504,id286
9,81357183,81383829,id287
3,163188304,163732153,id288
11,92168471,92591127,id289
