chr,coor_s,coor_e,ids
1,105278054,105475720,id1
5,46807275,46847565,id2
6,120096084,120284104,id3
6,5721754,5953058,id4
11,21391274,21395307,id5
3,74654669,74698145,id6
9,27330680,27335995,id7
6,111615081,111640903,id8
6,77843640,77848276,id9
20,60657762,60662178,id11
3,111658394,111690657,id12
16,27011676,27017277,id13
20,21642611,21672914,id14
5,48430860,48463433,id15
1,140870292,140881219,id16
7,151415907,151429627,id17
11,20282210,20313530,id18
1,144950649,144958039,id19
3,193933363,193944914,id20
10,11833337,11835600,id21
1,227691093,227693771,id22
5,61077698,61080356,id23
14,19010291,19012274,id24
5,12043732,12094477,id25
19,40279080,40310144,id26
14,57416949,57418974,id27
3,180011776,180014135,id28
16,89073394,89081347,id29
14,100353882,100355672,id30
3,84528447,84560204,id31
3,95218597,95221306,id32
11,66377911,66381796,id33
1,228689111,228698113,id34
1,15629776,15635799,id35
22,48073941,48075358,id36
18,40082925,40084894,id37
3,121935779,121937698,id38
9,48704279,48710618,id39
16,23017129,23036989,id40
1,145727086,145764154,id41
7,82021630,82024056,id42
8,130550718,130553128,id43
5,144868238,144967299,id44
6,80118615,80231831,id45
9,939856,1211102,id46
9,41638628,41641333,id47
13,105690253,105708643,id48
6,154755055,154773368,id49
11,122207946,122209224,id50
21,39608968,39619895,id51
5,129771741,129791886,id52
5,76004949,76025767,id53
1,63646767,63649556,id54
6,10480251,10487143,id55
4,89740733,89865423,id56
21,3567626,3585578,id57
4,144509771,144581283,id58
19,43235736,43267408,id59
3,58186410,58189454,id60
8,107478978,107515836,id61
14,30094318,30131547,id62
8,40681989,40738013,id63
8,71376579,71425484,id64
1,144088493,144089841,id65
3,25992587,25995023,id66
7,57307441,57319305,id67
2,86484614,86497825,id68
9,46572236,46573559,id69
10,87461676,87478566,id70
16,47338582,47341977,id71
3,147415176,147420313,id72
11,32034789,32081582,id73
1,18929848,18936362,id75
13,73470346,73471871,id76
2,60978755,60980897,id77
15,24196746,24198058,id78
17,52437326,52439823,id79
4,81842018,81843299,id80
6,89371164,89374093,id81
4,1423928,1424954,id82
