chr,coor_s,coor_e,ids
2,52690894,52888560,id1
4,79766885,79807175,id2
5,106913027,107101047,id3
10,75073828,75305132,id4
7,41274769,41278802,id5
1,158774431,158817907,id6
22,952793,958108,id7
1,232016326,232042148,id8
10,107694896,107699532,id9
15,68977489,68981905,id11
11,38546161,38578424,id12
11,64692171,64697772,id13
15,2773200,2803503,id14
17,73774836,73807409,id15
16,39785148,39796075,id16
9,45771716,45785436,id17
17,74615392,74646712,id18
1,133212668,133220058,id19
6,122661374,122672925,id20
14,46671295,46673558,id21
3,5558157,5560835,id22
9,137454869,137457527,id23
10,7553084,7555067,id24
17,33089662,33140407,id25
8,120079052,120110116,id26
10,84416191,84418216,id27
1,139338120,139340479,id28
17,47474183,47482136,id29
3,171203994,171205784,id30
16,42250271,42282028,id31
8,28282917,28285626,id32
5,17989103,17992988,id33
13,10804735,10813737,id34
16,60121938,60127961,id35
16,18683954,18685371,id36
2,134577221,134579190,id37
17,67092356,67094275,id38
15,70031005,70037344,id39
2,98970383,98990243,id40
10,76501632,76538700,id41
1,158299015,158301441,id42
5,108437619,108440029,id43
3,135214231,135313292,id44
1,91147841,91261057,id45
8,59673300,59944546,id46
3,144148734,144151439,id47
20,48078458,48096848,id48
6,18308740,18327053,id49
6,39118957,39120235,id50
5,98384512,98395439,id51
2,109453846,109473991,id52
7,35547692,35568510,id53
11,40788163,40790952,id54
5,131965786,131972678,id55
12,89615808,89740498,id56
18,40532203,40550155,id57
8,41270286,41341798,id58
12,114690209,114721881,id59
3,38596280,38599324,id60
7,70768303,70805161,id61
8,31083764,31120993,id62
17,2304752,2360776,id63
6,62856131,62905036,id64
6,82566265,82567613,id65
6,154184458,154186894,id66
16,12815360,12827224,id67
1,85035883,85049094,id68
15,52792318,52793641,id69
1,148980241,148997131,id70
8,2927358,2930753,id71
8,110418720,110423857,id72
8,47948263,47995056,id73
7,37348027,37354541,id75
12,59706305,59707830,id76
2,146287647,146289789,id77
1,168422213,168423525,id78
16,19638965,19641462,id79
1,108072850,108074131,id80
4,180184008,180186937,id81
10,75107408,75108434,id82
2,48334301,48337010,id83
4,20755702,20759197,id84
3,186375073,186454545,id85
4,6272406,6335312,id86
6,151358017,151360327,id87
16,52818306,52822736,id88
3,54006698,54007993,id89
2,226071622,226075998,id90
3,95307318,95311832,id91
20,30412011,30414109,id92
2,229403866,229404885,id93
14,42328961,42330881,id94
16,43643768,43644966,id95
13,13733929,13735538,id96
2,98894769,98901807,id97
19,302973,304303,id98
13,61243780,61245060,id99
7,52212313,52213909,id100
7,140604532,140605679,id101
1,149640098,149641853,id102
8,91412884,91414137,id103
10,23390420,23393372,id104
3,40956186,40957866,id105
8,143440145,143441188,id106
3,104108852,104110358,id107
7,105702311,105705428,id108
6,135069857,135071074,id109
13,89825022,89826804,id110
10,32739169,32740927,id111
7,17630764,17631982,id112
13,34606712,34608397,id113
16,83492313,83493828,id114
14,2625643,2627406,id115
12,112249305,112250326,id116
17,42948645,42950342,id117
2,112608631,112611567,id118
22,36320127,36321884,id119
15,85608988,85612177,id120
3,186547262,186548948,id121
