chr,coor_s,coor_e,ids
9,117829502,118027168,id1
1,206471297,206511587,id2
14,101669857,101857877,id3
8,43678950,43910254,id4
13,72242003,72246036,id5
18,45120754,45164230,id6
9,131159367,131164682,id7
1,185185108,185210930,id8
6,52695192,52699828,id9
10,102228483,102232899,id11
10,80874914,80907177,id12
11,103463597,103469198,id13
2,93805840,93836143,id14
5,159427427,159460000,id15
13,20677389,20688316,id16
7,8659370,8673090,id17
19,39538388,39569708,id18
18,55893541,55900931,id19
3,130005313,130016864,id20
5,77187345,77189608,id21
2,37385130,37387808,id22
2,223317331,223319989,id23
6,85033541,85035524,id24
11,125887377,125938122,id25
1,41116178,41147242,id26
12,25125517,25127542,id27
7,7974314,7976673,id28
12,47907872,47915825,id29
3,181195977,181197767,id30
8,13272266,13304023,id31
12,126971453,126974162,id32
1,115019154,115023039,id33
6,90681841,90690843,id34
5,155797386,155803409,id35
10,93259841,93261258,id36
2,47311927,47313896,id37
9,58721424,58723343,id38
22,4111013,4117352,id39
5,69622428,69642288,id40
12,127933105,127970173,id41
7,91194767,91197193,id42
16,15522013,15524423,id43
5,40990103,41089164,id44
1,121820110,121933326,id45
2,50412254,50683500,id46
9,35417334,35420039,id47
1,215900146,215918536,id48
18,46733430,46751743,id49
2,73591656,73592934,id50
12,88833280,88844207,id51
22,28044602,28064747,id52
4,96832516,96853334,id53
22,21403813,21406602,id54
4,68544670,68551562,id55
2,186154891,186279581,id56
1,81899438,81917390,id57
19,47339226,47410738,id58
1,61699430,61731102,id59
3,87763226,87766270,id60
11,86441997,86478855,id61
1,127950842,127988071,id62
21,1063511,1119535,id63
21,43726837,43775742,id64
2,71513514,71514862,id65
6,34359142,34361578,id66
7,123541254,123553118,id67
22,10223703,10236914,id68
3,116359922,116361245,id69
12,3454321,3471211,id70
2,11063214,11066609,id71
1,98597600,98602737,id72
12,122432235,122479028,id73
1,175012296,175018810,id75
9,126488459,126489984,id76
17,81384246,81386388,id77
18,72218398,72219710,id78
8,11217674,11220171,id79
11,96608003,96609284,id80
13,70736450,70739379,id81
6,21296255,21297281,id82
2,157581651,157584360,id83
1,93268872,93272367,id84
18,39785916,39865388,id85
6,104778453,104841359,id86
22,37948372,37950682,id87
16,51634462,51638892,id88
2,152363672,152364967,id89
5,87765123,87769499,id90
3,141728441,141732955,id91
10,111534750,111536848,id92
10,129658067,129659086,id93
5,35911133,35913053,id94
13,43255297,43256495,id95
5,72297107,72298716,id96
1,240410181,240417219,id97
15,64264490,64265820,id98
15,99328421,99329701,id99
6,86424812,86426408,id100
15,56964307,56965454,id101
13,101286862,101288617,id102
2,6254489,6255742,id103
12,16084207,16087159,id104
5,89652671,89654351,id105
8,130814610,130815653,id106
2,192361370,192362876,id107
5,130476603,130479720,id108
10,26851017,26852234,id109
6,63718955,63720737,id110
14,63080376,63082134,id111
10,93379378,93380596,id112
14,85005725,85007410,id113
5,180606599,180608114,id114
1,233623199,233624962,id115
3,146304258,146305279,id116
14,107025622,107027319,id117
12,111674700,111677636,id118
6,88214404,88216161,id119
3,172900997,172904186,id120
2,221711453,221713139,id121
2,21047360,21049900,id122
8,35759530,35760772,id123
9,11049000,11052036,id124
7,51264688,51265803,id125
13,57268897,57269910,id126
1,189534600,189537115,id127
9,115360622,115361961,id128
6,62397207,62398625,id129
7,45001236,45003124,id130
1,246380776,246384167,id131
14,45858549,45860089,id132
1,116492905,116494007,id133
5,174955374,174956647,id134
7,86235585,86237978,id135
14,18547607,18549834,id136
16,27879471,27880717,id137
9,90533718,90540310,id138
2,222008700,222010692,id139
16,4167772,4184114,id140
8,26346084,26347528,id142
8,35898459,35914789,id143
12,114575627,114577641,id144
9,25100215,25106379,id145
5,138171216,138174176,id146
14,10697634,10699191,id147
1,59892988,59894416,id148
2,152461765,152464487,id149
6,8176876,8178795,id150
12,80692929,80694055,id151
11,49608602,49610261,id152
11,46254109,46260119,id153
22,15550457,15551817,id154
16,438297,442676,id155
17,58256305,58258138,id156
3,160318565,160321527,id157
7,80294581,80295966,id158
15,13193656,13194791,id159
6,155540740,155602880,id160
1,171595437,171624061,id161
6,58319564,58321059,id162
16,49349824,49405515,id163
10,33276391,33305984,id164
5,120522804,120524873,id165
7,6665626,6669826,id166
5,81969167,81970246,id167
6,153075049,153077115,id168
11,9821121,9822732,id169
6,89589826,89591331,id170
4,52438592,52440137,id171
19,11200345,11201669,id172
15,10293329,10294821,id173
8,34749288,34750485,id174
1,159172182,159173587,id175
15,58689200,58690455,id176
1,155601472,155603005,id177
17,37096535,37097567,id178
4,123819531,123821362,id179
10,49901957,49904393,id180
10,9716180,9717445,id181
19,22732840,22733917,id182
14,45371668,45376694,id183
1,184519063,184521188,id184
19,6048903,6051035,id185
11,7354000,7355652,id186
7,25908668,25912426,id187
13,52150083,52151392,id188
12,115770857,115773956,id189
3,25182659,25184411,id190
20,6761951,6764001,id191
6,170184967,170187157,id192
11,99817300,99818552,id193
4,76517075,76518569,id194
4,62138693,62139770,id195
17,59799539,59800653,id196
17,68085544,68087281,id197
2,6573259,6574559,id198
1,165726463,165727995,id199
4,67067571,67068774,id200
3,24049655,24050868,id201
5,142595344,142597511,id202
11,9475748,9477614,id203
9,44045352,44046477,id204
18,61207435,61208476,id205
2,2577449,2579634,id206
5,124060098,124063226,id207
10,68020148,68023111,id208
5,122734050,122736635,id209
1,215242493,215243711,id210
12,121099197,121101104,id211
17,69012609,69015047,id212
3,173358015,173362158,id213
11,82419800,82421175,id214
9,114387120,114436411,id215
2,109586131,109893702,id216
10,73174219,73176040,id217
15,97425320,97454771,id218
13,944773,950928,id219
20,11425806,11427833,id220
9,102451233,102495032,id221
2,122560179,122588406,id222
9,106494905,106500999,id223
2,212493484,212497026,id224
2,40642595,40676738,id225
3,127348225,127350061,id226
1,166022593,166060720,id227
2,160569607,160580447,id228
2,55426090,55427203,id229
8,114680468,114698321,id230
17,30828197,30830096,id231
8,4842126,4845713,id232
7,30126240,30128027,id233
4,179366475,179368295,id234
11,8204124,8205262,id235
20,4531430,4532569,id236
18,18931454,18933428,id237
3,169847504,169854622,id238
2,211836479,211839832,id239
4,53760200,53763955,id240
9,13568195,13569956,id241
1,163577511,163578662,id242
5,40050638,40052628,id243
5,96065354,96067980,id244
7,141242787,141244821,id245
11,49806676,49808659,id246
4,51808988,51810037,id247
6,162608919,162610794,id248
9,108611973,108614055,id249
7,56374304,56376709,id250
5,39045342,39051276,id251
1,75957230,75966094,id252
2,192379331,192457439,id253
16,51816280,51922723,id254
6,107979986,107982459,id255
10,102053891,102055165,id256
1,69506763,69507862,id257
22,6321149,6322244,id258
3,173584790,173586090,id259
5,100611863,100709512,id260
10,55662923,55688310,id261
6,63543018,63631956,id262
3,5201988,5203643,id263
2,11341811,11346048,id265
10,89113414,89115459,id266
8,123850634,123852123,id267
4,127038490,127040294,id268
4,70901837,70902917,id269
18,70643927,70645557,id270
4,35597060,35598529,id271
6,37327557,37328854,id272
10,45082831,45084487,id273
15,92151573,92153195,id274
7,132301486,132303799,id275
19,36947301,36948515,id276
1,63610379,63683383,id277
11,115392288,115394293,id278
21,23550191,23551827,id279
5,178792336,178794532,id280
9,121936190,121937769,id281
2,201758634,201760411,id282
1,151406552,151408030,id283
10,50434217,50466496,id284
10,128635871,128661729,id285
15,55629003,55630894,id286
6,61869649,61896295,id287
12,81830648,82374497,id288
14,18832518,19255174,id289
6,3255430,3704524,id290
3,15483396,15494277,id291
11,76262854,76325275,id292
11,47140940,47147996,id293
5,179125664,179140375,id294
7,153797466,153859036,id295
2,187826217,187834173,id296
4,82769022,82889845,id297
9,6876535,6881850,id298
16,29336286,29410172,id299
22,19731753,19850832,id300
8,89001736,89274647,id301
22,31256432,31258044,id302
19,43901752,43906449,id303
4,78154783,78199508,id304
2,21667478,21685135,id305
22,45830188,45835128,id306
8,140251127,140262131,id307
2,137261030,137617610,id308
11,4533821,4646483,id309
8,70790904,70856952,id310
16,45002689,45833038,id311
3,26448605,27417446,id312
3,187574036,187648763,id313
2,10713473,10716003,id314
13,51287740,51374598,id315
15,65471179,65485625,id316
9,61118219,61122046,id317
6,102447493,102452706,id318
2,80422362,81274554,id319
2,100870674,101022123,id320
19,54340185,54348929,id321
21,45235456,45237003,id322
5,1726588,1728237,id323
6,62015699,62020360,id324
12,132647196,132648377,id325
9,84269930,84272755,id326
15,22208717,22297994,id327
21,16135232,16418612,id328
5,129699443,129751945,id329
17,48590071,48629878,id330
7,149941155,149978079,id331
4,171150689,172080288,id332
5,85859732,86336700,id333
1,151572532,151598618,id334
19,55882695,55885215,id335
6,20950798,20952370,id336
12,100404420,100406089,id337
8,82893804,82894851,id338
16,37594105,37598399,id339
1,203158985,203163800,id341
9,120659511,120665304,id342
22,4461816,4463052,id343
1,167411230,167412471,id344
4,145344160,145345247,id345
18,68284609,68285683,id346
12,76689874,76691625,id347
4,60503489,60505030,id348
12,115240112,115266360,id349
18,40494204,40517976,id350
14,104635992,104637352,id351
2,69176703,69180158,id352
7,4531329,4534558,id353
14,99839730,99840775,id354
8,99682075,99683682,id355
2,49301659,49303419,id356
12,44673564,44684147,id358
11,129281395,129293886,id359
10,61371826,61373206,id360
7,95665132,95669933,id361
10,95353050,95354378,id362
